codec,case,input_bytes,max_compressed_bytes
asmp-049-auto-dynamic-prepared-size-probe,randomish,8192,8197
asmp-050-auto-dynamic-cheap-prepared-size-probe,empty,0,2
asmp-050-auto-dynamic-cheap-prepared-size-probe,small,24,10
asmp-050-auto-dynamic-cheap-prepared-size-probe,text,109,74
asmp-050-auto-dynamic-cheap-prepared-size-probe,repeated,4096,48
asmp-050-auto-dynamic-cheap-prepared-size-probe,period257,65536,610
asmp-050-auto-dynamic-cheap-prepared-size-probe,binary,2048,1073
asmp-050-auto-dynamic-cheap-prepared-size-probe,long-repeat,70000,212
asmp-050-auto-dynamic-cheap-prepared-size-probe,high-literals,112,114
asmp-050-auto-dynamic-cheap-prepared-size-probe,randomish,8192,8197
